Bird_Species,Timestamp,Start_Offset,Confidence,Temperature,Filename,Battery_Voltage
Airplane,2026-01-08 16:02:00-05:00,6.0,0.7390398383140564,59.36,/Users/patrick/Desktop/creation/birds/recordings/20260108_160200.WAV,3.5
Airplane,2026-01-08 16:02:00-05:00,51.0,0.7494866251945496,59.36,/Users/patrick/Desktop/creation/birds/recordings/20260108_160200.WAV,3.5
Airplane,2026-01-08 16:47:00-05:00,15.0,0.7278459668159485,57.56,/Users/patrick/Desktop/creation/birds/recordings/20260108_164700.WAV,3.2
Airplane,2026-01-08 16:47:00-05:00,30.0,0.6882346272468567,57.56,/Users/patrick/Desktop/creation/birds/recordings/20260108_164700.WAV,3.2
Airplane,2026-01-08 16:47:00-05:00,33.0,0.9598388075828552,57.56,/Users/patrick/Desktop/creation/birds/recordings/20260108_164700.WAV,3.2
Airplane,2026-01-08 16:47:00-05:00,39.0,0.8353288769721985,57.56,/Users/patrick/Desktop/creation/birds/recordings/20260108_164700.WAV,3.2
White-breasted Nuthatch,2026-01-07 16:05:00-05:00,15.0,0.9488304257392883,60.08,/Users/patrick/Desktop/creation/birds/recordings/20260107_210500.WAV,3.6
Carolina Wren,2026-01-07 17:04:00-05:00,48.0,0.8964195251464844,57.92,/Users/patrick/Desktop/creation/birds/recordings/20260107_220400.WAV,3.2
Blue Jay,2026-01-09 07:34:00-05:00,0.0,0.7021896839141846,41.0,/Users/patrick/Desktop/creation/birds/recordings/20260109_073400.WAV,3.3
Blue Jay,2026-01-09 07:34:00-05:00,24.0,0.6864383816719055,41.0,/Users/patrick/Desktop/creation/birds/recordings/20260109_073400.WAV,3.3
Blue Jay,2026-01-09 07:34:00-05:00,39.0,0.7459508180618286,41.0,/Users/patrick/Desktop/creation/birds/recordings/20260109_073400.WAV,3.3
Blue Jay,2026-01-09 07:34:00-05:00,48.0,0.7921372652053833,41.0,/Users/patrick/Desktop/creation/birds/recordings/20260109_073400.WAV,3.3
Airplane,2026-01-08 16:45:00-05:00,39.0,0.9107208847999573,58.1,/Users/patrick/Desktop/creation/birds/recordings/20260108_164500.WAV,3.2
Airplane,2026-01-08 16:45:00-05:00,45.0,0.8399592041969299,58.1,/Users/patrick/Desktop/creation/birds/recordings/20260108_164500.WAV,3.2
Airplane,2026-01-08 16:45:00-05:00,51.0,0.8998419046401978,58.1,/Users/patrick/Desktop/creation/birds/recordings/20260108_164500.WAV,3.2
Airplane,2026-01-07 17:06:00-05:00,0.0,0.9090471267700195,58.46,/Users/patrick/Desktop/creation/birds/recordings/20260107_220600.WAV,3.2
Carolina Wren,2026-01-07 17:06:00-05:00,15.0,0.866879403591156,58.46,/Users/patrick/Desktop/creation/birds/recordings/20260107_220600.WAV,3.2
Airplane,2026-01-07 17:06:00-05:00,18.0,0.7508338689804077,58.46,/Users/patrick/Desktop/creation/birds/recordings/20260107_220600.WAV,3.2
Carolina Wren,2026-01-07 17:06:00-05:00,21.0,0.8403257131576538,58.46,/Users/patrick/Desktop/creation/birds/recordings/20260107_220600.WAV,3.2
Carolina Wren,2026-01-07 17:06:00-05:00,27.0,0.7160831689834595,58.46,/Users/patrick/Desktop/creation/birds/recordings/20260107_220600.WAV,3.2
Downy Woodpecker,2026-01-07 16:42:00-05:00,3.0,0.9052090048789978,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_214200.WAV,3.2
Downy Woodpecker,2026-01-07 16:42:00-05:00,12.0,0.8168242573738098,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_214200.WAV,3.2
Downy Woodpecker,2026-01-07 16:42:00-05:00,21.0,0.8052051067352295,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_214200.WAV,3.2
Downy Woodpecker,2026-01-07 16:42:00-05:00,39.0,0.9123436808586121,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_214200.WAV,3.2
Downy Woodpecker,2026-01-07 16:42:00-05:00,51.0,0.9573537111282349,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_214200.WAV,3.2
